text,emotion
i feel resentful,anger
i feel offended,anger
i feel like yelling,anger
i feel tense and angry,anger
i feel provoked,anger
i feel wronged,anger
i feel hostile,anger
i am furious about what happened,anger
this is completely unfair and i am outraged,anger
i feel betrayed by someone i trusted,anger
i cannot believe how disrespectful that was,anger
i feel like i was treated unjustly,anger
i am so mad i cannot think straight,anger
i feel like punching something i am so angry,anger
i feel rage building up inside me,anger
nobody respects my boundaries and i am livid,anger
i feel manipulated and that makes me furious,anger
i am disgusted by how i was treated,anger
i feel like nobody takes me seriously,anger
i feel deeply offended by what was said,anger
i am fed up with being ignored,anger
i feel explosive anger that i cannot control,anger
i feel bitter about everything that happened,anger
i was blamed unfairly and i am furious,anger
i feel so much frustration i want to scream,anger
people keep crossing my limits and i am done,anger
i feel like i was used and thrown away,anger
i am angry at myself for letting this happen,anger
i feel hatred towards the situation i am in,anger
i feel disrespected and undervalued at work,anger
i cannot contain my anger anymore,anger
i feel violent frustration over this situation,anger
i am boiling with anger right now,anger
i feel intense anger that is hard to manage,anger
that was so unfair and i am outraged,anger
i feel like i was stabbed in the back,anger
i am so tired of being treated this way,anger
i feel okay today,neutral
today was normal,neutral
nothing special happened,neutral
i feel fine,neutral
it was an average day,neutral
i feel neutral,neutral
everything is normal,neutral
i feel calm,neutral
i feel stable,neutral
i feel balanced,neutral
nothing to report today,neutral
i feel indifferent,neutral
today was just another day,neutral
i feel neither good nor bad,neutral
i feel steady,neutral
i feel regular,neutral
it was a usual day,neutral
i feel plain,neutral
i feel unchanged,neutral
i feel standard,neutral
today was uneventful and that is fine,neutral
i went through the day without strong feelings,neutral
i feel moderate and at ease,neutral
nothing unusual happened today,neutral
i did my daily tasks and that is all,neutral
i feel okay with how things are going,neutral
today passed by without anything notable,neutral
i feel neither excited nor sad,neutral
i went to class and came home,neutral
i did my work and took a break,neutral
everything is as it should be,neutral
i feel like today was just ordinary,neutral
i have no strong emotions right now,neutral
i feel quiet and unbothered,neutral
things are going at a normal pace,neutral
i feel at peace with the ordinary routine,neutral
i am simply going through the motions today,neutral
i feel moderate energy and no particular mood,neutral
today was predictable and calm,neutral
i did not experience anything extraordinary today,neutral
i feel composed and level headed,neutral
things feel manageable and under control,neutral
today was routine and unremarkable,neutral
i feel okay about where things stand,neutral
i spent the day doing regular activities,neutral
i feel neutral about most things today,neutral
i am not particularly moved by anything today,neutral
today i felt no strong emotional reactions,neutral
i feel at a steady baseline today,neutral
life feels consistent and stable right now,neutral
